,itemId,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
27,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg
28,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
29,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg
30,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
31,0446612545,The Beach House,James Patterson,2003,Warner Books,http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
32,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
33,0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
34,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg
35,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
36,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg
37,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
38,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg
39,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
40,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
41,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
42,0451410319,Hush,Anne Frasier,2002,Onyx Books,http://images.amazon.com/images/P/0451410319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg
43,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg
44,0380778556,Rebecca,Daphne Du Maurier,1994,Avon,http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg
45,0446527165,Wish You Well,David Baldacci,2000,Warner Books,http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
46,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg
47,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg
48,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg
49,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
50,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,http://images.amazon.com/images/P/0345354931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg
51,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,http://images.amazon.com/images/P/0553278223.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278223.01.LZZZZZZZ.jpg
52,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
53,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg
54,0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg
55,0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345311396.01.LZZZZZZZ.jpg
56,0345378490,Congo,Michael Crichton,1995,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg
57,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg
58,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg
59,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
60,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
61,0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
62,0385508042,The King of Torts,John Grisham,2003,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg
63,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,http://images.amazon.com/images/P/0385509456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385509456.01.LZZZZZZZ.jpg
64,0385511612,Bleachers,John Grisham,2003,Doubleday,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
65,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
66,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
67,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
68,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
69,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg
70,0451162072,Pet Sematary,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg
71,0451186648,Silent Snow,Steve Thayer,2000,Signet Book,http://images.amazon.com/images/P/0451186648.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451186648.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg
72,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
73,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg
74,0671027387,Deception Point,Dan Brown,2002,Pocket,http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
75,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg
76,0743486226,Angels &amp; Demons,Dan Brown,2003,Atria,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
77,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg
78,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg
79,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
80,0151008116,Life of Pi,Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
81,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
82,0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
83,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg
84,0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg
85,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006102063X.01.LZZZZZZZ.jpg
86,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg
87,0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,http://images.amazon.com/images/P/0375751513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375751513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375751513.01.LZZZZZZZ.jpg
88,037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg
89,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,http://images.amazon.com/images/P/0440241413.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg
90,0451526341,Animal Farm,George Orwell,2004,Signet,http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
91,0553280589,Eva Luna,Isabel Allende,1989,Bantam Books,http://images.amazon.com/images/P/0553280589.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg
92,0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
93,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics,http://images.amazon.com/images/P/1563898586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563898586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563898586.01.LZZZZZZZ.jpg
94,0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg
95,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
